1.002652904000539215e-05 4.216829064225027757e-05
1.049906479565102304e-05 4.409668989532551165e-05
1.099387047536236879e-05 4.611327715926663085e-05
1.151199562832584752e-05 4.822208485047988673e-05
1.205453926745714600e-05 5.042733047974083292e-05
1.262265220055495281e-05 5.273342439319432512e-05
1.321753947131862056e-05 5.514497788343136769e-05
1.384046291540731710e-05 5.766681366956697189e-05
1.449274383696278121e-05 6.030397613605518721e-05
1.517576581127245683e-05 6.306173911191964208e-05
1.589097761951820481e-05 6.594561607911187241e-05
1.663989632183543899e-05 6.896137627702758144e-05
1.742411047520107096e-05 7.211504998022352894e-05
1.824528350297576344e-05 7.541294388699128800e-05
1.910515722324803919e-05 7.886165435760770668e-05
2.000555554346387138e-05 8.246807677042153285e-05
2.094838832917894286e-05 8.623942497991635560e-05
2.193565545513954845e-05 9.018324073213600798e-05
2.296945104728506898e-05 9.430740942131509157e-05
2.405196792466982473e-05 9.862018138547498679e-05
2.518550225072635363e-05 1.031301793387899226e-04
2.637245840373575093e-05 1.078464237239567841e-04
2.761535407683655152e-05 1.127783461625663002e-04
2.891682561838934486e-05 1.179358092560609683e-04
3.027963362402508039e-05 1.233291279737199571e-04
3.170666879223857392e-05 1.289690871911952814e-04
3.320095805594759804e-05 1.348669654048942975e-04
3.476567100302322208e-05 1.410345573101985108e-04
3.640412659941095981e-05 1.474841972272784537e-04
3.811980022910232112e-05 1.542287844763075776e-04
3.991633106589024654e-05 1.612818091510914698e-04
4.179752979254466644e-05 1.686573692440040061e-04
4.376738668378158238e-05 1.763702192689664214e-04
4.583008007017047141e-05 1.844357810947756836e-04
4.798998520093406234e-05 1.928701844705242119e-04
5.025168352443823227e-05 2.016902972834285347e-04
5.261997240605830237e-05 2.109137553893604834e-04
5.509987530403422535e-05 2.205590073136585224e-04
5.769665242489896157e-05 2.306453367210398837e-04
6.041581188108195250e-05 2.411929160250038601e-04
6.326312137435362250e-05 2.522228352096762935e-04
6.624462042989472728e-05 2.637571532260406227e-04
6.936663320693861037e-05 2.758189335464139949e-04
7.263578191316092606e-05 2.884322957435038297e-04
7.605900085126996672e-05 3.016224618475963877e-04
7.964355112759243893e-05 3.154158074483712822e-04
